15 Feb 2016 12:24:18:331; ----------------------------------------------------------------------------
15 Feb 2016 12:25:01:964; Test started on localhost.localdomain machine
15 Feb 2016 12:25:01:965; >Start test method: testEBayPage
15 Feb 2016 12:25:05:646; Execute: findElement(By.id(kw)
15 Feb 2016 12:25:08:007; Execute: waitToBeVisible(searchBox)
15 Feb 2016 12:25:08:189; Execute: sendKeys(searchBox)
15 Feb 2016 12:25:10:043; Execute: submit(searchBox)
15 Feb 2016 12:25:13:112; Execute: findElement(By.cssSelector(a.homeicon)
15 Feb 2016 12:25:15:942; Execute: findElements(By.cssSelector(div.stpFxht a)
15 Feb 2016 12:25:31:079; Execute: waitListToBeVisible(numberOfResults)
15 Feb 2016 12:26:01:679; Fail to execute: waitListToBeVisible(numberOfResults)
15 Feb 2016 12:26:01:692; >TestFail: testEBayPage on AppTests.WebTest class 
15 Feb 2016 12:26:01:709; context = NATIVE_APP
15 Feb 2016 12:26:01:710; context = WEBVIEW_1
15 Feb 2016 12:26:01:726; Execute: switchContentToNative(NATIVE_APP)
15 Feb 2016 12:26:03:379; $$$$ Test ended! $$$$
15 Feb 2016 12:26:03:379; ----------------------------------------------------------------------------
15 Feb 2016 12:27:51:126; ----------------------------------------------------------------------------
15 Feb 2016 12:28:05:734; Test started on localhost.localdomain machine
15 Feb 2016 12:28:05:734; >Start test method: testEBayPage
15 Feb 2016 12:28:08:975; Execute: findElement(By.id(kw)
15 Feb 2016 12:28:11:854; Execute: waitToBeVisible(searchBox)
15 Feb 2016 12:28:11:947; Execute: sendKeys(searchBox)
15 Feb 2016 12:28:12:967; Execute: submit(searchBox)
15 Feb 2016 12:28:16:061; Execute: findElement(By.cssSelector(a.homeicon)
15 Feb 2016 12:28:18:627; Execute: findElements(By.cssSelector(div#itemDiv a)
15 Feb 2016 12:28:18:788; Execute: waitListToBeVisible(numberOfResults)
15 Feb 2016 12:28:18:986; Execute: size(numberOfResults)
15 Feb 2016 12:28:18:990; Execute: click(homeButton)
15 Feb 2016 12:28:21:917; >Success testing method: testEBayPage
15 Feb 2016 12:28:21:919; $$$$ Test ended! $$$$
15 Feb 2016 12:28:21:920; ----------------------------------------------------------------------------
15 Feb 2016 12:28:59:253; ----------------------------------------------------------------------------
15 Feb 2016 12:29:10:931; Test started on localhost.localdomain machine
15 Feb 2016 12:29:10:931; >Start test method: testApplication
15 Feb 2016 12:29:10:938; Execute: findElement(By.name(5)
15 Feb 2016 12:29:11:037; Execute: findElement(By.name(+)
15 Feb 2016 12:29:11:122; Execute: findElement(By.name(4)
15 Feb 2016 12:29:11:219; Execute: findElementByAccessibilityId(equals)
15 Feb 2016 12:29:11:280; Execute: findElement(By.id(com.android.calculator2:id/formula)
15 Feb 2016 12:29:11:301; Execute: waitToBeVisible(five)
15 Feb 2016 12:29:11:333; Execute: click(five)
15 Feb 2016 12:29:11:566; Execute: click(plus)
15 Feb 2016 12:29:12:213; Execute: click(four)
15 Feb 2016 12:29:12:904; Execute: click(Equal)
15 Feb 2016 12:29:14:408; Execute: getText(value)
15 Feb 2016 12:29:15:588; >TestFail: testApplication on AppTests.AppTest class 
15 Feb 2016 12:29:15:651; context = NATIVE_APP
15 Feb 2016 12:29:15:723; Fail to execute: switchContentToNative(null)
15 Feb 2016 12:29:15:724; >TestFail: testApplication on AppTests.AppTest class 
15 Feb 2016 12:29:15:787; context = NATIVE_APP
15 Feb 2016 12:29:15:857; Fail to execute: switchContentToNative(null)
15 Feb 2016 12:29:15:858; $$$$ Test ended! $$$$
15 Feb 2016 12:29:15:858; ----------------------------------------------------------------------------
15 Feb 2016 12:31:37:562; ----------------------------------------------------------------------------
15 Feb 2016 12:31:49:346; Test started on localhost.localdomain machine
15 Feb 2016 12:31:49:347; >Start test method: testApplication
15 Feb 2016 12:31:49:354; Execute: findElement(By.name(5)
15 Feb 2016 12:31:49:424; Execute: findElement(By.name(+)
15 Feb 2016 12:31:49:493; Execute: findElement(By.name(4)
15 Feb 2016 12:31:49:538; Execute: findElementByAccessibilityId(equals)
15 Feb 2016 12:31:49:597; Execute: findElement(By.id(com.android.calculator2:id/formula)
15 Feb 2016 12:31:49:615; Execute: waitToBeVisible(five)
15 Feb 2016 12:31:49:683; Execute: click(five)
15 Feb 2016 12:31:49:906; Execute: click(plus)
15 Feb 2016 12:31:50:529; Execute: click(four)
15 Feb 2016 12:31:51:215; Execute: click(Equal)
15 Feb 2016 12:31:51:873; Execute: getText(value)
15 Feb 2016 12:31:52:962; >Success testing method: testApplication
15 Feb 2016 12:31:52:964; $$$$ Test ended! $$$$
15 Feb 2016 12:31:52:964; ----------------------------------------------------------------------------
15 Feb 2016 12:35:16:887; ----------------------------------------------------------------------------
15 Feb 2016 12:35:28:434; Test started on localhost.localdomain machine
15 Feb 2016 12:35:28:435; >Start test method: testApplication
15 Feb 2016 12:35:28:442; Execute: findElement(By.name(5)
15 Feb 2016 12:35:28:508; Execute: findElement(By.name(+)
15 Feb 2016 12:35:28:582; Execute: findElement(By.name(4)
15 Feb 2016 12:35:28:619; Execute: findElementByAccessibilityId(equals)
15 Feb 2016 12:35:28:675; Execute: findElement(By.id(com.android.calculator2:id/formula)
15 Feb 2016 12:35:28:706; Execute: waitToBeVisible(five)
15 Feb 2016 12:35:28:794; Execute: click(five)
15 Feb 2016 12:35:29:058; Execute: click(plus)
15 Feb 2016 12:35:29:695; Execute: click(four)
15 Feb 2016 12:35:30:375; Execute: click(Equal)
15 Feb 2016 12:35:31:016; Execute: getText(value)
15 Feb 2016 12:35:32:693; >TestFail: testApplication on AppTests.AppTest class 
15 Feb 2016 12:35:32:751; context = NATIVE_APP
15 Feb 2016 12:35:32:827; Execute: switchContentToNative(NATIVE_APP)
15 Feb 2016 12:35:34:688; $$$$ Test ended! $$$$
15 Feb 2016 12:35:34:688; ----------------------------------------------------------------------------
15 Feb 2016 15:01:47:081; ----------------------------------------------------------------------------
15 Feb 2016 15:01:58:876; Test started on localhost.localdomain machine
15 Feb 2016 15:01:58:877; >Start test method: testApplication
15 Feb 2016 15:01:58:888; Execute: findElement(By.name(5)
15 Feb 2016 15:01:58:957; Execute: findElement(By.name(+)
15 Feb 2016 15:01:59:023; Execute: findElement(By.name(4)
15 Feb 2016 15:01:59:060; Execute: findElementByAccessibilityId(equals)
15 Feb 2016 15:01:59:117; Execute: findElement(By.id(com.android.calculator2:id/formula)
15 Feb 2016 15:01:59:136; Execute: waitToBeVisible(five)
15 Feb 2016 15:01:59:196; Execute: click(five)
15 Feb 2016 15:01:59:473; Execute: click(plus)
15 Feb 2016 15:02:00:162; Execute: click(four)
15 Feb 2016 15:02:01:068; Execute: click(Equal)
15 Feb 2016 15:02:01:767; Execute: getText(value)
15 Feb 2016 15:02:02:942; >Success testing method: testApplication
15 Feb 2016 15:02:02:943; $$$$ Test ended! $$$$
15 Feb 2016 15:02:02:944; ----------------------------------------------------------------------------
15 Feb 2016 15:02:15:510; ----------------------------------------------------------------------------
15 Feb 2016 15:02:29:994; Test started on localhost.localdomain machine
15 Feb 2016 15:02:29:994; >Start test method: testHybridApp
15 Feb 2016 15:02:30:004; Execute: findElement(By.id(com.example.testapp:id/urlField)
15 Feb 2016 15:02:30:042; Execute: findElement(By.id(com.example.testapp:id/goButton)
15 Feb 2016 15:02:30:074; Execute: waitToBeVisible(urlField)
15 Feb 2016 15:02:30:115; Execute: waitToBeVisible(goButton)
15 Feb 2016 15:02:30:155; Execute: sendKeys( urlField)
15 Feb 2016 15:02:35:365; Execute: click(goButton)
15 Feb 2016 15:02:36:506; context = NATIVE_APP
15 Feb 2016 15:02:36:507; context = WEBVIEW_com.example.testapp
15 Feb 2016 15:02:41:987; Execute: switchContentToWeb(WEBVIEW_com.example.testapp)
15 Feb 2016 15:02:41:988; Execute: hideKeyboard()
15 Feb 2016 15:02:43:237; Execute: findElement(By.name(q)
15 Feb 2016 15:02:43:698; Execute: waitToBeVisible(searchField)
15 Feb 2016 15:02:43:785; Execute: sendKeys(searchField)
